RacerID,Venue,local_win_rate
3158,16,6.37
3158,17,6.89
3158,18,6.61
3158,19,6.52
3158,20,6.49
3158,21,6.4
3158,22,6.47
3158,23,6.98
3158,24,6.7
3159,01,7.94
3159,02,7.07
3159,03,7.24
3159,04,7.03
3159,05,7.1
3159,06,7.04
3159,07,7.12
3159,08,7.36
3159,09,7.28
3159,10,7.24
3159,11,7.3
3159,12,7.26
3159,13,7.3
3159,14,6.64
3159,15,7.06
3159,16,7.03
3159,17,6.89
3159,18,7.61
3159,19,7.46
3159,20,7.43
3159,21,7.47
3159,22,7.35
3159,23,7.83
3159,24,7.56
3161,01,6.0
3161,02,6.05
3161,03,6.54
3161,04,6.11
3161,05,6.02
3161,06,6.27
3161,07,5.92
3161,08,6.55
3161,09,6.25
3161,10,6.23
3161,11,6.68
3161,12,6.1
3161,13,6.36
3161,14,6.17
3161,15,6.67
3161,16,6.61
3161,17,6.23
3161,18,5.93
3161,19,5.97
3161,20,6.43
3161,21,6.14
3161,22,6.76
3161,23,6.06
3161,24,6.72
3175,01,5.28
3175,02,5.45
3175,03,5.44
3175,04,5.56
3175,05,5.58
3175,06,5.45
3175,07,5.08
3175,08,5.67
3175,09,5.61
3175,10,5.77
3175,11,5.94
3175,12,5.51
3175,13,5.66
3175,14,5.62
3175,15,5.67
3175,16,5.34
3175,17,5.48
3175,18,5.52
3175,19,5.87
3175,20,5.33
3175,21,5.53
3175,22,4.93
3175,23,5.43
3175,24,5.65
3176,01,5.64
3176,02,5.32
3176,03,3.24
3176,04,5.82
3176,05,5.38
3176,06,5.87
3176,07,6.38
3176,08,5.46
3176,09,5.48
3176,10,5.58
3176,11,5.55
3176,12,5.04
3176,13,5.34
3176,14,5.61
3176,15,5.86
3176,16,5.38
3176,17,5.28
3176,18,6.01
3176,19,6.36
3176,20,5.39
3176,21,5.72
3176,22,5.58
3176,23,5.52
3176,24,5.8
3188,01,6.65
3188,02,6.84
3188,03,6.48
3188,04,6.34
3188,05,7.02
3188,06,7.0
3188,07,6.72
3188,08,6.88
3188,09,6.74
3188,10,7.26
3188,11,6.95
3188,12,6.26
3188,13,6.65
3188,14,7.0
3188,15,6.69
3188,16,6.4
3188,17,6.41
3188,18,6.99
3188,19,7.32
3188,20,6.46
3188,21,6.94
3188,22,6.86
3188,23,6.57
3188,24,6.87
3202,01,5.18
3202,02,5.29
3202,03,5.68
3202,04,5.36
3202,05,5.58
3202,06,4.71
3202,07,5.26
3202,08,5.32
3202,09,5.2
3202,10,5.49
3202,11,4.75
3202,12,5.34
3202,13,5.47
3202,14,5.88
3202,15,5.06
3202,16,5.33
3202,17,5.3
3202,18,5.39
3202,19,6.3
3202,20,5.77
3202,21,5.91
3202,22,5.18
3202,23,5.31
3202,24,4.99
3207,01,4.18
3207,02,3.99
3207,03,4.59
3207,04,4.52
3207,05,4.7
3207,06,4.68
3207,07,3.91
3207,08,4.11
3207,09,4.4
3207,10,4.13
3207,11,3.91
3207,12,4.43
3207,13,4.03
3207,14,4.3
3207,15,4.33
3207,16,4.3
3207,17,4.78
3207,18,4.11
3207,19,3.92
3207,20,3.86
3207,21,4.47
3207,22,4.02
3207,23,3.89
3207,24,4.5
3211,01,5.89
3211,02,5.54
3211,03,5.6
3211,04,5.78
3211,05,5.51
3211,06,6.03
3211,07,5.63
3211,08,5.48
3211,09,6.08
3211,10,5.85
3211,11,5.79
3211,12,5.55
3211,13,5.7
3211,14,5.57
3211,15,5.54
3211,16,5.34
3211,17,5.2
3211,18,5.15
3211,19,5.81
3211,20,5.67
3211,21,5.3
3211,22,5.66
3211,23,5.75
3211,24,5.45
3212,01,6.9
3212,02,6.58
3212,03,6.86
3212,04,6.49
3212,05,6.41
3212,06,6.08
3212,07,6.05
3212,08,6.55
3212,09,6.35
3212,10,6.71
3212,11,6.21
3212,12,6.67
3212,13,6.13
3212,14,5.85
3212,15,6.18
3212,16,6.65
3212,17,6.32
3212,18,6.0
3212,19,6.0
3212,20,5.93
3212,21,5.97
3212,22,6.89
3212,23,6.34
3212,24,6.13
3224,01,5.35
3224,02,5.27
3224,03,4.93
3224,04,4.62
3224,05,5.61
3224,06,4.98
3224,07,5.04
3224,08,5.04
3224,09,5.34
3224,10,5.05
3224,11,5.47
3224,12,4.43
3224,13,4.67
3224,14,5.28
3224,15,5.25
3224,16,4.81
3224,17,5.16
3224,18,4.85
3224,19,5.1
3224,20,5.29
3224,21,4.96
3224,22,5.1
3224,23,5.25
3224,24,5.59
3226,01,5.22
3226,02,5.68
3226,03,5.65
3226,04,5.62
3226,05,5.48
3226,06,4.94
3226,07,4.75
3226,08,5.14
3226,09,5.13
3226,10,5.35
3226,11,5.65
3226,12,5.54
3226,13,4.95
3226,14,5.35
3226,15,5.66
3226,16,5.48
3226,17,6.04
3226,18,5.67
3226,19,5.6
3226,20,5.92
3226,21,5.29
3226,22,5.21
3226,23,5.74
3226,24,5.39
3232,01,6.46
3232,02,7.0
3232,03,4.31
3232,04,6.25
3232,05,6.45
3232,06,6.97
3232,07,6.36
3232,08,6.48
3232,09,6.72
3232,10,6.64
3232,11,6.68
3232,12,6.55
3232,13,6.86
3232,14,6.82
3232,15,6.37
3232,16,6.65
3232,17,6.94
3232,18,7.02
3232,19,6.9
3232,20,6.8
3232,21,7.05
3232,22,6.83
3232,23,6.55
3232,24,7.07
3233,01,6.67
3233,02,6.02
3233,03,6.27
3233,04,6.34
3233,05,6.53
3233,06,6.48
3233,07,6.02
3233,08,6.77
3233,09,6.47
3233,10,6.08
3233,11,6.57
3233,12,6.05
3233,13,6.37
3233,14,6.53
3233,15,6.07
3233,16,6.44
3233,17,6.33
3233,18,6.08
3233,19,6.61
3233,20,6.12
3233,21,6.01
3233,22,6.01
3233,23,6.21
3233,24,6.1
3246,01,6.0
3246,02,5.91
3246,03,5.82
3246,04,6.02
3246,05,5.0
3246,06,6.36
3246,07,5.74
3246,08,5.59
3246,09,6.11
3246,10,6.32
3246,11,5.66
3246,12,6.22
3246,13,6.19
3246,14,6.11
3246,15,5.93
3246,16,6.0
3246,17,6.16
3246,18,5.49
3246,19,6.0
3246,20,6.65
3246,21,5.95
3246,22,5.74
3246,23,5.68
3246,24,6.11
3251,01,6.51
3251,02,6.61
3251,03,6.44
3251,04,6.95
3251,05,6.8
3251,06,6.83
3251,07,6.42
3251,08,6.59
3251,09,6.12
3251,10,6.75
3251,11,6.09
3251,12,6.65
3251,13,6.83
3251,14,5.9
3251,15,6.84
3251,16,7.14
3251,17,6.66
3251,18,6.77
3251,19,7.0
3251,20,6.42
3251,21,6.36
3251,22,6.54
3251,23,6.79
3251,24,6.44
3256,01,7.06
3256,02,6.9
3256,03,6.93
3256,04,7.03
3256,05,7.11
3256,06,6.93
3256,07,7.18
3256,08,7.33
3256,09,7.28
3256,10,6.88
3256,11,6.95
3256,12,6.62
3256,13,6.89
3256,14,7.09
3256,15,6.67
3256,16,6.9
3256,17,7.01
3256,18,7.07
3256,19,6.64
3256,20,6.84
3256,21,6.82
3256,22,7.02
3256,23,7.42
3256,24,6.63
3257,01,6.8
3257,02,7.66
3257,03,6.3
3257,04,6.41
3257,05,6.53
3257,06,7.09
3257,07,6.49
3257,08,6.55
3257,09,5.91
3257,10,6.64
3257,11,6.97
3257,12,6.72
3257,13,6.54
3257,14,6.26
3257,15,6.54
3257,16,6.53
3257,17,6.94
3257,18,7.5
3257,19,7.54
3257,20,7.18
3257,21,7.24
3257,22,7.48
3257,23,6.8
3257,24,7.09
3265,01,6.52
3265,02,7.15
3265,03,6.55
3265,04,7.62
3265,05,6.69
3265,06,7.37
3265,07,7.13
3265,08,7.44
3265,09,7.42
3265,10,6.9
3265,11,7.12
3265,12,7.16
3265,13,6.71
3265,14,7.82
3265,15,6.91
3265,16,7.06
3265,17,7.07
3265,18,6.96
3265,19,7.12
3265,20,7.26
3265,21,6.9
3265,22,7.17
3265,23,7.09
3265,24,7.06
3268,01,5.46
3268,02,5.74
3268,03,5.53
3268,04,6.02
3268,05,5.74
3268,06,6.2
3268,07,6.04
3268,08,6.41
3268,09,6.55
3268,10,6.2
3268,11,6.61
3268,12,5.95
3268,13,6.67
3268,14,5.83
3268,15,5.78
3268,16,6.97
3268,17,5.82
3268,18,5.88
3268,19,5.73
3268,20,6.09
3268,21,6.6
3268,22,6.01
3268,23,6.23
3268,24,6.61
3273,01,5.79
3273,02,5.55
3273,03,5.26
3273,04,5.44
3273,05,5.86
3273,06,5.12
3273,07,5.74
3273,08,5.67
3273,09,5.37
3273,10,6.18
3273,11,5.85
3273,12,4.91
3273,13,5.51
3273,14,5.36
3273,15,5.27
3273,16,5.47
3273,17,5.66
3273,18,5.13
3273,19,5.66
3273,20,5.57
3273,21,5.21
3273,22,5.66
3273,23,5.38
3273,24,5.35
3277,01,4.6
3277,02,5.64
3277,03,5.35
3277,04,5.16
3277,05,5.3
3277,06,5.09
3277,07,4.53
3277,08,4.91
3277,09,5.12
3277,10,5.56
3277,11,5.64
3277,12,4.78
3277,13,5.0
3277,14,5.5
3277,15,5.52
3277,16,4.78
3277,17,5.35
3277,18,5.27
3277,19,5.0
3277,20,5.58
3277,21,5.02
3277,22,4.84
3277,23,5.57
3277,24,5.0
3280,01,4.97
3280,02,4.92
3280,03,5.84
3280,04,5.81
3280,05,5.71
3280,06,5.22
3280,07,5.48
3280,08,5.63
3280,09,5.6
3280,10,6.0
3280,11,5.43
3280,12,5.28
3280,13,5.51
3280,14,4.93
3280,15,5.49
3280,16,5.45
3280,17,5.03
3280,18,5.73
3280,19,5.82
3280,20,5.29
3280,21,5.27
3280,22,5.61
3280,23,6.02
3280,24,5.39
3282,01,5.76
3282,02,6.0
3282,03,6.18
3282,04,6.32
3282,05,6.26
3282,06,5.92
3282,07,6.14
3282,08,6.18
3282,09,6.1
3282,10,6.15
3282,11,5.94
3282,12,6.36
3282,13,5.85
3282,14,5.81
3282,15,6.31
3282,16,6.57
3282,17,6.18
3282,18,5.97
3282,19,6.05
3282,20,6.35
3282,21,5.5
3282,22,6.1
3282,23,5.83
3282,24,5.75
3284,01,0.0
3284,02,6.05
3284,03,6.86
3284,04,6.14
3284,05,6.04
3284,06,6.46
3284,07,5.68
3284,08,6.47
3284,09,5.7
3284,10,6.06
3284,11,6.14
3284,12,5.84
3284,13,6.08
3284,14,5.95
3284,15,5.83
3284,16,6.28
3284,17,5.91
3284,18,6.38
3284,19,6.4
3284,20,5.78
3284,21,6.17
3284,22,6.37
3284,23,6.54
3284,24,6.04
3286,01,5.69
3286,02,5.37
3286,03,5.39
3286,04,5.45
3286,05,5.29
3286,06,5.94
3286,07,5.48
3286,08,5.62
3286,09,5.21
3286,10,5.08
3286,11,5.7
3286,12,5.4
3286,13,5.77
3286,14,5.45
3286,15,5.61
3286,16,5.28
3286,17,4.98
3286,18,5.59
3286,19,5.76
3286,20,5.42
3286,21,5.43
3286,22,5.33
3286,23,5.73
3286,24,5.34
3289,01,5.64
3289,02,5.79
3289,03,5.1
3289,04,5.3
3289,05,5.49
3289,06,5.39
3289,07,5.55
3289,08,5.22
3289,09,5.45
3289,10,5.49
3289,11,5.52
3289,12,5.71
3289,13,5.56
3289,14,5.4
3289,15,5.68
3289,16,5.3
3289,17,5.29
3289,18,5.44
3289,19,5.87
3289,20,5.66
3289,21,5.44
3289,22,5.74
3289,23,5.76
3289,24,5.15
3290,01,6.66
3290,02,7.02
3290,03,0.0
3290,04,7.12
3290,05,6.59
3290,06,6.94
3290,07,7.12
3290,08,6.87
3290,09,7.24
3290,10,7.07
3290,11,7.14
3290,12,7.12
3290,13,6.95
3290,14,6.73
3290,15,6.92
3290,16,6.96
3290,17,7.01
3290,18,7.09
3290,19,7.6
3290,20,7.54
3290,21,6.49
3290,22,7.1
3290,23,6.98
3290,24,6.95
3293,01,5.06
3293,02,5.39
3293,03,5.67
3293,04,5.4
3293,05,5.46
3293,06,5.17
3293,07,4.94
3293,08,5.22
3293,09,5.38
3293,10,5.05
3293,11,4.68
3293,12,5.04
3293,13,5.43
3293,14,6.01
3293,15,5.32
3293,16,5.3
3293,17,5.36
3293,18,5.41
3293,19,5.15
3293,20,5.39
3293,21,5.07
3293,22,5.46
3293,23,5.08
3293,24,5.34
3294,01,5.26
3294,02,4.88
3294,03,5.55
3294,04,5.02
3294,05,5.08
3294,06,5.24
3294,07,5.28
3294,08,4.96
3294,09,4.56
3294,10,4.91
3294,11,4.8
3294,12,4.74
3294,13,5.0
3294,14,5.15
3294,15,5.06
3294,16,4.85
3294,17,4.87
3294,18,5.01
3294,19,5.68
3294,20,4.75
3294,21,4.68
3294,22,4.81
3294,23,4.81
3294,24,5.06
3297,01,6.1
3297,02,6.79
3297,03,5.96
3297,04,6.75
3297,05,6.59
3297,06,6.75
3297,07,6.9
3297,08,6.64
3297,09,6.82
3297,10,6.91
3297,11,6.97
3297,12,6.45
3297,13,6.53
3297,14,6.22
3297,15,5.99
3297,16,6.07
3297,17,6.35
3297,18,6.55
3297,19,6.34
3297,20,6.75
3297,21,6.46
3297,22,7.04
3297,23,6.37
3297,24,6.56
3300,01,6.87
3300,02,6.95
3300,03,6.4
3300,04,7.22
3300,05,6.43
3300,06,6.9
3300,07,6.65
3300,08,6.67
3300,09,6.69
3300,10,6.91
3300,11,6.63
3300,12,7.02
3300,13,6.92
3300,14,6.5
3300,15,6.61
3300,16,7.13
3300,17,6.67
3300,18,6.74
3300,19,6.84
3300,20,6.66
3300,21,7.01
3300,22,6.93
3300,23,6.33
3300,24,6.82
3302,01,6.99
3302,02,5.68
3302,03,6.24
3302,04,5.9
3302,05,6.64
3302,06,6.24
3302,07,6.26
3302,08,6.14
3302,09,6.33
3302,10,6.8
3302,11,5.97
3302,12,6.0
3302,13,6.29
3302,14,6.17
3302,15,5.78
3302,16,5.73
3302,17,6.34
3302,18,5.84
3302,19,6.49
3302,20,7.0
3302,21,6.08
3302,22,6.52
3302,23,6.16
3302,24,6.84
3303,01,5.61
3303,02,5.0
3303,03,6.05
3303,04,5.53
3303,05,5.77
3303,06,5.71
3303,07,5.65
3303,08,5.46
3303,09,5.34
3303,10,5.63
3303,11,5.61
3303,12,5.45
3303,13,5.38
3303,14,5.65
3303,15,5.48
3303,16,5.48
3303,17,5.68
3303,18,5.55
3303,19,5.31
3303,20,5.37
3303,21,5.38
3303,22,5.58
3303,23,5.59
3303,24,5.62
3304,01,6.53
3304,02,7.06
3304,03,6.94
3304,04,7.35
3304,05,6.76
3304,06,6.8
3304,07,7.07
3304,08,6.85
3304,09,7.09
3304,10,6.45
3304,11,6.75
3304,12,6.61
3304,13,7.1
3304,14,7.06
3304,15,6.82
3304,16,6.74
3304,17,6.93
3304,18,6.73
3304,19,6.53
3304,20,6.97
3304,21,6.74
3304,22,6.59
3304,23,6.57
3304,24,6.01
3305,01,6.29
3305,02,5.75
3305,03,6.48
3305,04,6.07
3305,05,5.33
3305,06,6.0
3305,07,7.1
3305,08,5.67
3305,09,5.88
3305,10,6.0
3305,11,5.67
3305,12,5.8
3305,13,5.96
3305,14,5.37
3305,15,5.89
3305,16,0.0
3305,17,5.7
3305,18,5.63
3305,19,6.19
3305,20,5.41
3305,21,5.85
3305,22,5.66
3305,23,6.01
3305,24,6.83
3306,01,4.7
3306,02,5.24
3306,03,5.08
3306,04,4.57
3306,05,4.83
3306,06,4.66
3306,07,4.05
3306,08,4.44
3306,09,4.54
3306,10,4.65
3306,11,4.5
3306,12,4.6
3306,13,4.86
3306,14,4.41
3306,15,4.53
3306,16,4.74
3306,17,4.29
3306,18,4.35
3306,19,4.46
3306,20,4.88
3306,21,4.95
3306,22,5.04
3306,23,4.17
3306,24,4.89
3313,01,5.26
3313,02,5.23
3313,03,5.57
3313,04,5.36
3313,05,5.08
3313,06,5.19
3313,07,4.74
3313,08,5.18
3313,09,5.21
3313,10,5.62
3313,11,5.34
3313,12,4.81
3313,13,5.27
3313,14,5.74
3313,15,4.56
3313,16,5.4
3313,17,4.52
3313,18,5.44
3313,19,4.64
3313,20,4.18
3313,21,5.55
3313,22,5.16
3313,23,5.14
3313,24,5.5
3315,01,5.32
3315,02,5.2
3315,03,5.88
3315,04,5.47
3315,05,5.13
3315,06,5.23
3315,07,5.53
3315,08,5.32
3315,09,4.98
3315,10,5.46
3315,11,5.11
3315,12,5.15
3315,13,5.41
3315,14,5.67
3315,15,5.21
3315,16,5.45
3315,17,5.6
3315,18,4.94
3315,19,5.13
3315,20,4.53
3315,21,5.4
3315,22,5.4
3315,23,5.19
3315,24,5.11
3319,01,6.35
3319,02,6.79
3319,03,6.76
3319,04,6.51
3319,05,6.38
3319,06,6.2
3319,07,6.75
3319,08,6.3
3319,09,6.08
3319,10,6.22
3319,11,6.28
3319,12,5.97
3319,13,6.06
3319,14,6.48
3319,15,6.3
3319,16,6.03
3319,17,5.76
3319,18,6.42
3319,19,5.83
3319,20,6.19
3319,21,6.68
3319,22,6.45
3319,23,6.71
3319,24,6.33
3327,01,6.69
3327,02,6.5
3327,03,7.08
3327,04,6.28
3327,05,6.36
3327,06,7.16
3327,07,6.19
3327,08,6.85
3327,09,6.35
3327,10,6.82
3327,11,6.84
3327,12,6.53
3327,13,6.48
3327,14,6.55
3327,15,6.33
3327,16,6.39
3327,17,6.5
3327,18,7.05
3327,19,6.64
3327,20,6.64
3327,21,6.36
3327,22,6.55
3327,23,6.83
3327,24,6.62
3333,01,6.53
3333,02,6.82
3333,03,6.22
3333,04,6.52
3333,05,6.32
3333,06,6.61
3333,07,6.95
3333,08,6.67
3333,09,6.36
3333,10,6.48
3333,11,6.55
3333,12,6.13
3333,13,6.6
3333,14,6.93
3333,15,6.61
3333,16,6.37
3333,17,6.41
3333,18,6.49
3333,19,6.44
3333,20,6.54
3333,21,6.42
3333,22,6.39
3333,23,6.49
3333,24,6.18
3334,01,5.75
3334,02,5.47
3334,03,5.59
3334,04,5.85
3334,05,5.64
3334,06,6.27
3334,07,5.75
3334,08,5.59
3334,09,5.76
3334,10,6.22
3334,11,6.12
3334,12,6.28
3334,13,6.11
3334,14,5.44
3334,15,5.81
3334,16,5.86
3334,17,6.09
3334,18,5.87
3334,19,6.22
3334,20,5.83
3334,21,6.04
3334,22,5.89
3334,23,5.64
3334,24,6.09
3339,01,5.4
3339,02,5.03
3339,03,5.82
3339,04,5.21
3339,05,5.03
3339,06,5.07
3339,07,5.13
3339,08,5.52
3339,09,5.07
3339,10,5.03
3339,11,5.83
3339,12,5.33
3339,13,5.41
3339,14,5.23
3339,15,5.13
3339,16,5.41
3339,17,5.15
3339,18,5.58
3339,19,4.81
3339,20,5.06
3339,21,5.62
3339,22,5.45
3339,23,5.0
3339,24,5.69
3340,01,4.97
3340,02,5.21
3340,03,5.5
3340,04,5.0
3340,05,5.18
3340,06,5.0
3340,07,4.91
3340,08,4.64
3340,09,4.94
3340,10,4.82
3340,11,5.35
3340,12,5.19
3340,13,5.37
3340,14,5.01
3340,15,5.09
3340,16,5.33
3340,17,4.74
3340,18,5.25
3340,19,5.03
3340,20,5.06
3340,21,4.89
3340,22,4.67
3340,23,4.93
3340,24,4.54
3346,01,5.19
3346,02,5.09
3346,03,5.59
3346,04,5.4
3346,05,5.37
3346,06,5.64
3346,07,5.29
3346,08,5.43
3346,09,5.26
3346,10,5.79
3346,11,5.52
3346,12,5.44
3346,13,5.66
3346,14,5.81
3346,15,5.42
3346,16,5.51
3346,17,5.61
3346,18,5.83
3346,19,5.38
3346,20,5.29
3346,21,5.08
3346,22,5.36
3346,23,5.68
3346,24,5.48
3347,01,6.06
3347,02,6.84
3347,03,7.04
3347,04,6.69
3347,05,6.23
3347,06,6.77
3347,07,6.2
3347,08,6.44
3347,09,6.67
3347,10,6.18
3347,11,6.8
3347,12,6.59
3347,13,7.22
3347,14,6.7
3347,15,6.23
3347,16,6.79
3347,17,7.1
3347,18,5.84
3347,19,6.81
3347,20,6.03
3347,21,6.51
3347,22,6.67
3347,23,6.53
3347,24,6.85
3349,01,6.65
3349,02,6.11
3349,03,6.22
3349,04,6.64
3349,05,6.68
3349,06,6.25
3349,07,6.3
3349,08,5.99
3349,09,6.35
3349,10,6.08
3349,11,6.43
3349,12,5.91
3349,13,6.16
3349,14,6.5
3349,15,6.4
3349,16,6.52
3349,17,6.39
3349,18,6.51
3349,19,6.71
3349,20,6.38
3349,21,6.31
3349,22,6.62
3349,23,6.63
3349,24,6.72
3350,01,5.2
3350,02,5.61
3350,03,5.61
3350,04,5.61
3350,05,5.99
3350,06,5.87
3350,07,5.44
3350,08,5.82
3350,09,5.55
3350,10,5.93
3350,11,5.69
3350,12,5.43
3350,13,5.37
3350,14,5.5
3350,15,5.22
3350,16,5.73
3350,17,5.48
3350,18,5.81
3350,19,5.89
3350,20,5.9
3350,21,5.63
3350,22,5.49
3350,23,5.24
3350,24,5.89
3352,01,6.04
3352,02,5.69
3352,03,5.36
3352,04,6.21
3352,05,5.71
3352,06,5.59
3352,07,5.8
3352,08,5.69
3352,09,5.69
3352,10,5.4
3352,11,5.57
3352,12,5.36
3352,13,5.81
3352,14,5.44
3352,15,5.75
3352,16,5.52
3352,17,5.63
3352,18,5.18
3352,19,5.67
3352,20,5.44
3352,21,5.5
3352,22,5.38
3352,23,5.3
3352,24,5.44
3353,01,5.87
3353,02,6.07
3353,03,5.87
3353,04,5.99
3353,05,5.6
3353,06,5.46
3353,07,5.28
3353,08,5.75
3353,09,5.12
3353,10,5.88
3353,11,5.76
3353,12,5.75
3353,13,6.06
3353,14,5.83
3353,15,5.97
3353,16,5.55
3353,17,5.96
3353,18,6.03
3353,19,6.66
3353,20,5.98
3353,21,5.72
3353,22,5.7
3353,23,5.98
3353,24,6.12
3355,01,4.67
3355,02,4.77
3355,03,5.27
3355,04,4.78
3355,05,4.62
3355,06,4.64
3355,07,4.73
3355,08,4.81
3355,09,4.55
3355,10,4.96
3355,11,4.43
3355,12,4.96
3355,13,4.72
3355,14,4.57
3355,15,5.07
3355,16,4.51
3355,17,5.04
3355,18,4.61
3355,19,4.99
3355,20,4.91
3355,21,4.66
3355,22,4.52
3355,23,4.41
3355,24,4.47
3357,01,5.17
3357,02,5.35
3357,03,5.09
3357,04,5.17
3357,05,4.99
3357,06,4.81
3357,07,4.72
3357,08,5.16
3357,09,5.03
3357,10,5.13
3357,11,5.17
3357,12,5.52
3357,13,5.01
3357,14,4.68
3357,15,5.21
3357,16,5.14
